,title,id,language,ontologyId,resultType,access,distance,categories,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.postalCode,position.lat,position.lng,address.street,references
0,Falcon Residency,here:pds:place:356tgt5b-575f2998cff54c6fa531071b3120f8c5,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35421, 'lng': 85.82155}]",672,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Falcon Residency, Trishna Enclave Phase 1, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Trishna Enclave Phase 1,751024,20.3542,85.82171,,
1,Ratna Lifestyle Apartment,here:pds:place:356tgt5b-dd778ae41dba84dda1e5ebff139d0326,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35746, 'lng': 85.82183}]",747,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Ratna Lifestyle Apartment, Shikharchandi Vihar Prasanti Vihar Road, Sikharchandi Nagar, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Sikharchandi Nagar,751024,20.35757,85.82183,Shikharchandi Vihar Prasanti Vihar Road,
2,Caesars Palace,here:pds:place:356tgt5b-48ac26347539f27795b034b4fbd9c29b,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35227, 'lng': 85.82215}]",777,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Caesars Palace, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,,751024,20.35226,85.82224,,
3,Wakanda,here:pds:place:356tgt5b-4fbea3df8159f84afc7390a31ef4c7d5,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34714, 'lng': 85.81741}]",848,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Wakanda, Chandaka Industrial Estate, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Chandaka Industrial Estate,751024,20.34745,85.81748,,
4,Rockpool Heights Apartment,here:pds:place:356tgt5b-45605a343cef41b8876ae9ad41ac7f90,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36082, 'lng': 85.8093}]",916,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Rockpool Heights Apartment, Kiss Road, Daruthenga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Daruthenga,,751024,20.36082,85.8093,Kiss Road,
5,Alpine Apartments,here:pds:place:356tgt5b-01e510cfb228ed7eb5686db54ec1c5e7,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34689, 'lng': 85.81821}]",919,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Alpine Apartments, Basundhara Colony-Sishu Vihar, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Basundhara Colony-Sishu Vihar,751024,20.34701,85.81825,,
6,Home,here:pds:place:356tgt5b-668382d51d45f7b0e02a8b405540a812,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34911, 'lng': 85.82192}]",925,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Home, Bajrang Vihar, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Bajrang Vihar,751024,20.34913,85.82179,,
7,Kabita Enclave,here:pds:place:356tgt5b-b9667a0cc85bc9b152d21a675149a3e2,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35125, 'lng': 85.82326}]",939,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Kabita Enclave, Swarnapuri, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Swarnapuri,751024,20.35117,85.82343,,
8,Surekha Orchid,here:pds:place:356tgt5b-f881edee7294c3dc504879e45e453265,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34705, 'lng': 85.81872}]",942,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Surekha Orchid, Basundhara Colony-Sishu Vihar, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Basundhara Colony-Sishu Vihar,751024,20.34703,85.81889,,
9,Sipun Residency,here:pds:place:356tgt5b-1b7035d9d2fc0083d83d277199059f3a,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35502, 'lng': 85.82472}]",1001,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Sipun Residency, Phase 1-Adarsha Vihar, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Phase 1-Adarsha Vihar,751024,20.35502,85.8249,,
