,title,address.label,distance,access,position.lat,position.lng,address.postalCode,id
0,Falcon Residency,"Falcon Residency, Trishna Enclave Phase 1, Patia, Bhubaneswar 751024, India",672,"[{'lat': 20.35421, 'lng': 85.82155}]",20.3542,85.82171,751024,here:pds:place:356tgt5b-575f2998cff54c6fa531071b3120f8c5
1,Ratna Lifestyle Apartment,"Ratna Lifestyle Apartment, Shikharchandi Vihar Prasanti Vihar Road, Sikharchandi Nagar, Patia, Bhubaneswar 751024, India",747,"[{'lat': 20.35746, 'lng': 85.82183}]",20.35757,85.82183,751024,here:pds:place:356tgt5b-dd778ae41dba84dda1e5ebff139d0326
2,Caesars Palace,"Caesars Palace, Patia, Bhubaneswar 751024, India",777,"[{'lat': 20.35227, 'lng': 85.82215}]",20.35226,85.82224,751024,here:pds:place:356tgt5b-48ac26347539f27795b034b4fbd9c29b
3,Wakanda,"Wakanda, Chandaka Industrial Estate, Patia, Bhubaneswar 751024, India",848,"[{'lat': 20.34714, 'lng': 85.81741}]",20.34745,85.81748,751024,here:pds:place:356tgt5b-4fbea3df8159f84afc7390a31ef4c7d5
4,Rockpool Heights Apartment,"Rockpool Heights Apartment, Kiss Road, Daruthenga, Bhubaneswar 751024, India",916,"[{'lat': 20.36082, 'lng': 85.8093}]",20.36082,85.8093,751024,here:pds:place:356tgt5b-45605a343cef41b8876ae9ad41ac7f90
5,Alpine Apartments,"Alpine Apartments, Basundhara Colony-Sishu Vihar, Patia, Bhubaneswar 751024, India",919,"[{'lat': 20.34689, 'lng': 85.81821}]",20.34701,85.81825,751024,here:pds:place:356tgt5b-01e510cfb228ed7eb5686db54ec1c5e7
6,Home,"Home, Bajrang Vihar, Patia, Bhubaneswar 751024, India",925,"[{'lat': 20.34911, 'lng': 85.82192}]",20.34913,85.82179,751024,here:pds:place:356tgt5b-668382d51d45f7b0e02a8b405540a812
7,Kabita Enclave,"Kabita Enclave, Swarnapuri, Patia, Bhubaneswar 751024, India",939,"[{'lat': 20.35125, 'lng': 85.82326}]",20.35117,85.82343,751024,here:pds:place:356tgt5b-b9667a0cc85bc9b152d21a675149a3e2
8,Surekha Orchid,"Surekha Orchid, Basundhara Colony-Sishu Vihar, Patia, Bhubaneswar 751024, India",942,"[{'lat': 20.34705, 'lng': 85.81872}]",20.34703,85.81889,751024,here:pds:place:356tgt5b-f881edee7294c3dc504879e45e453265
9,Sipun Residency,"Sipun Residency, Phase 1-Adarsha Vihar, Patia, Bhubaneswar 751024, India",1001,"[{'lat': 20.35502, 'lng': 85.82472}]",20.35502,85.8249,751024,here:pds:place:356tgt5b-1b7035d9d2fc0083d83d277199059f3a
10,Basera Apartment,"Basera Apartment, Patia, Bhubaneswar 751024, India",1085,"[{'lat': 20.35023, 'lng': 85.8245}]",20.35016,85.82446,751024,here:pds:place:356tgt5b-12ad7aef84eb9943fea2632c81f02cb4
11,Shuvam Daitari Enclave,"Shuvam Daitari Enclave, Prasanti Vihar, Patia, Bhubaneswar 751024, India",1129,"[{'lat': 20.36279, 'lng': 85.82209}]",20.36263,85.82219,751024,here:pds:place:356tgt5b-34a0da1e3eea5dffe53df535b5a42c64
12,Saptarshi Apartment,"Saptarshi Apartment, Nandankanan Road, Patia, Bhubaneswar 751024, India",1135,"[{'lat': 20.35061, 'lng': 85.82558}]",20.3507,85.82527,751024,here:pds:place:356tgt5c-7d2fa38d3bb146138e58cfe92a4cf4b7
13,Panchanan Pradhan Residence,"Panchanan Pradhan Residence, Kanan Vihar Phase 2, Patia, Bhubaneswar 751024, India",1274,"[{'lat': 20.34929, 'lng': 85.82598}]",20.34921,85.82597,751024,here:pds:place:356tgt5c-37cfbfb8c7d2911a9026f0ba6b716bff
14,Kautsav Apartment,"Kautsav Apartment, Santi Vihar, Patia, Bhubaneswar 751024, India",1275,"[{'lat': 20.3527, 'lng': 85.82732}]",20.35269,85.82732,751024,here:pds:place:356tgt5c-cdbf9b213ef157e901e60a91c3b81266
15,North View,"North View, Sishu Vihar, Patia, Bhubaneswar 751024, India",1323,"[{'lat': 20.34404, 'lng': 85.81936}]",20.3435,85.81927,751024,here:pds:place:356tgt58-d97ab45b2361437f3ede1e379910e4fd
16,"Indo Arcade Apartments, Patia Station Road","Indo Arcade Apartments, Patia Station Road, Patia, Bhubaneswar 751024, India",1457,"[{'lat': 20.35581, 'lng': 85.82916}]",20.35579,85.82924,751024,here:pds:place:356tgt5c-5c3f3f2ecd7d3de5a0534e7e7cce3966
17,Khetrabasi Apartments,"Khetrabasi Apartments, Mahavir Nagar, Patia, Bhubaneswar 751024, India",1492,"[{'lat': 20.34341, 'lng': 85.82262}]",20.34324,85.82256,751024,here:pds:place:356tgt58-9ce4dab2842a9a688e83b8fc593aba56
18,Kalvik East View,"Kalvik East View, Kanan Vihar Phase 2, Patia, Bhubaneswar 751024, India",1510,"[{'lat': 20.34797, 'lng': 85.82781}]",20.34801,85.82784,751024,here:pds:place:356tgt5c-0e5178045c0c8466fb01d4053b940e0f
19,Mason Pearl,"Mason Pearl, Ahalya Nagar, Patia, Bhubaneswar 751024, India",1613,"[{'lat': 20.34735, 'lng': 85.82858}]",20.34716,85.82845,751024,here:pds:place:356tgt5c-f43c6739e44b2cf37a2c5bf27720a057
20,The Crest,"The Crest, Patharagadia, Bhubaneswar 751024, India",1617,"[{'lat': 20.36212, 'lng': 85.80194}]",20.36215,85.80192,751024,here:pds:place:356tgt5b-90d079ff6deffe932acc9da3826819d4
21,House Rent,"House Rent, Sailashree Vihar-Saswat Vihar, Chandrasekharpur, Bhubaneswar 751021, India",1669,"[{'lat': 20.34009, 'lng': 85.81215}]",20.34007,85.81223,751021,here:pds:place:356tgt58-35a79604a72129de90b2bb924638a4b0
22,Subhadra Apartments,"Subhadra Apartments, Subhadra Apartment-Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",1717,"[{'lat': 20.36252, 'lng': 85.82965}]",20.36242,85.82962,751024,here:pds:place:356tgt5c-d4e179eeab1c4ac5bdd64d85e14a068a
23,Sai Rose Apartment,"Sai Rose Apartment, Kalyani Nagar, Raghunathpur Jali, Bhubaneswar 752054, India",1720,"[{'lat': 20.36514, 'lng': 85.82777}]",20.36503,85.82768,752054,here:pds:place:356tgt5c-58f9856ce2972256e82f81b8d3e1f027
24,Satyabadi Enclave,"Satyabadi Enclave, Gayatri Vihar, Chandrasekharpur, Bhubaneswar 751016, India",1729,"[{'lat': 20.34034, 'lng': 85.82121}]",20.34027,85.8212,751016,here:pds:place:356tgt58-5f7fd4f7ed0d4555b49c22283dd9e7fb
25,Manjulata Mansion,"Manjulata Mansion, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",1769,"[{'lat': 20.36094, 'lng': 85.83085}]",20.36109,85.83089,751024,here:pds:place:356tgt5c-a53e2a4e11940ef1d65ec022d172f9d7
26,Apartment,"Apartment, Kanan Vihar Phase 2, Patia, Bhubaneswar 751024, India",1800,"[{'lat': 20.35125, 'lng': 85.83213}]",20.35125,85.83215,751024,here:pds:place:356tgt5c-2666f6f17dcb0dd2f24a4e6fd996a7d4
27,Trishna Orchid,"Trishna Orchid, Patia, Bhubaneswar 751024, India",1845,"[{'lat': 20.3484, 'lng': 85.8318}]",20.34848,85.83166,751024,here:pds:place:356tgt5c-44fecee2372ac17e3cd77c2557803f3f
28,Kalvik King Palace Apartment,"Kalvik King Palace Apartment, Patia Road, Patia, Bhubaneswar 751024, India",1856,"[{'lat': 20.34251, 'lng': 85.82743}]",20.34253,85.82737,751024,here:pds:place:356tgt59-befda2695bad3b6fb5a0d3675563f25b
29,Tulsi Vihar Complex,"Tulsi Vihar Complex, Chandrasekharpur, Bhubaneswar 751021, India",1861,"[{'lat': 20.33816, 'lng': 85.81424}]",20.33809,85.81422,751021,here:pds:place:356tgt58-b0c7609fd7cfb5b847afb98c9c4e3803
30,Ashiyana Apartment,"Ashiyana Apartment, Goura Vihar, Kalarahanga, Bhubaneswar 751024, India",1874,"[{'lat': 20.35548, 'lng': 85.83327}]",20.35553,85.83326,751024,here:pds:place:356tgt5c-bc02c571609abdcf14b4949dfc8c656d
